id,name,general_name,economic_name,region3_name
110000,北京市,华北,北部沿海,东部地带
120000,天津市,华北,北部沿海,东部地带
130000,河北省,华北,北部沿海,东部地带
140000,山西省,华北,黄河中游,中部地带
150000,内蒙古自治区,华北,黄河中游,西部地带
210000,辽宁省,东北,东北地区,东部地带
220000,吉林省,东北,东北地区,中部地带
230000,黑龙江省,东北,东北地区,中部地带
310000,上海市,华东,东部沿海,东部地带
320000,江苏省,华东,东部沿海,东部地带
330000,浙江省,华东,东部沿海,东部地带
340000,安徽省,华东,长江中游,中部地带
350000,福建省,华东,南部沿海,东部地带
360000,江西省,华东,长江中游,中部地带
370000,山东省,华东,北部沿海,东部地带
410000,河南省,中南,黄河中游,中部地带
420000,湖北省,中南,长江中游,中部地带
430000,湖南省,中南,长江中游,中部地带
440000,广东省,中南,南部沿海,东部地带
450000,广西壮族自治区,中南,西南地区,西部地带
460000,海南省,中南,南部沿海,东部地带
500000,重庆市,西南,西南地区,西部地带
510000,四川省,西南,西南地区,西部地带
520000,贵州省,西南,西南地区,西部地带
530000,云南省,西南,西南地区,西部地带
540000,西藏自治区,西南,大西北地区,西部地带
610000,陕西省,西北,黄河中游,西部地带
620000,甘肃省,西北,大西北地区,西部地带
630000,青海省,西北,大西北地区,西部地带
640000,宁夏回族自治区,西北,大西北地区,西部地带
650000,新疆维吾尔自治区,西北,大西北地区,西部地带
